x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-12847.810621973029,-3458.689398433846,20128156114.26099,-53670752583.540535,11104596811.228304,106424379443.19176,145581547919.44766,-26636553240.780647,-147854196142.90826,170330362429.92892,-732042169992.77,-238918200123.7588,-1358943379287.7722,-381493446519.5513,-1079201360853.6448,-2627090788252.654,-3129610799787.711,3293909113796.831
-51474.58770254502,-13711.651830503415,35375491067.944534,-45268450427.68065,-1516328060.0632935,106985894959.34233,147123946021.38986,-16016216478.67932,-154302826833.33536,164507470774.0314,-730569563729.404,-243383250661.44797,-1358001147880.1018,-384833494048.98145,-1076933242343.0891,-2628021365254.294,-3131027664917.9873,3292562362954.6816
-116011.08929859544,-30607.92081136336,47429196447.246124,-32779444779.570847,-14116086089.898232,106052211344.284,147889292106.71942,-5311295626.307968,-160521269836.22623,158439117713.53674,-729069578770.315,-247839179030.60825,-1357050610575.6257,-388171190168.4364,-1074664318804.24,-2628949974673.808,-3132443957972.8984,3291215010168.439
-206651.80733251965,-53985.089743486635,55246167790.97325,-17362361653.97242,-26518539893.533043,103635998819.91273,147873409944.5204,5421676008.80237,-166500233324.00818,152134342166.20786,-727542271300.9882,-252285818129.86047,-1356091773174.1917,-391506514637.8217,-1072394591932.6097,-2629876615806.9814,-3133859678694.9204,3289867055685.9424
-323663.8670518332,-83690.98600365472,58193285435.939674,-414838406.49155617,-38550185578.37079,99770523147.21117,147076196603.26834,16125995579.102045,-172230775744.06107,145602531431.6803,-725987698512.3646,-256723001199.04828,-1355124641526.9302,-394839447231.1119,-1070124063424.2805,-2630801287951.0044,-3135274826826.6323,3288518499755.1377
-467387.52907794237,-119607.04296589887,56085678994.37258,16568705089.349182,-50042535077.86907,94509218621.44409,145501626912.2064,26745078934.89238,-177704318646.08868,138853407978.2488,-724405918598.8162,-261150561825.15912,-1354149221536.2139,-398169967736.4245,-1067852734975.9032,-2631723990404.473,-3136689402110.717,3287169342624.0796
-638228.9653452237,-161670.1584150253,49177831619.45463,32134173320.838387,-60834439148.8925,87924990109.7813,143157738246.33038,37222748926.58305,-182912659042.51184,131897015775.20491,-722796990756.0892,-265568333948.235,-1353165519155.6147,-401498055956.09485,-1065580608284.6957,-2632644722467.3896,-3138103404289.9595,3285819584540.929
-836647.0266529068,-209890.81713058986,38117449878.662926,44986286972.14298,-70774321067.21938,80109250986.07697,140056595575.4489,47503522526.68114,-187847981287.6146,124743706186.1529,-721160975179.2158,-269976151867.27368,-1352173540389.861,-404823691706.75037,-1063307685048.4413,-2633563483441.1636,-3139516833107.249,3284469225753.9556
-1063136.0427387396,-264366.395050375,23873981837.772297,54081799077.47464,-79722291553.17618,71170706969.73647,136214236798.17061,57532895529.4559,-192502868460.73886,117404123439.50504,-719497933060.3931,-274373850246.1214,-1351173291294.7922,-408146854819.38544,-1061033966965.4874,-2634480272628.613,-3140929688305.5776,3283118266511.535
-1318206.4632781248,-325289.4722074363,7652272674.8655815,58696219602.15244,-87552116256.9359,61233899076.03569,131650598470.68254,67257623565.09611,-196870313237.81516,109889189692.75252,-717807926586.8318,-278761264119.3578,-1350164777977.313,-411467525139.43665,-1058759455734.7441,-2635395089333.9644,-3142341969628.041,3281766707062.151
